Email/Employee ID,ShiftDate,Intime Date,In Time,Outtime Date,Out Time,Break Duration
1004,2019-12-12,2019-12-12,11:55,2019-12-12,18:40,
1004,2019-12-13,2019-12-13,11:30,2019-12-13,19:05,
1021,2019-12-12,2019-12-12,10:40,2019-12-12,18:50,
1021,2019-12-13,2019-12-13,10:56,2019-12-13,18:32,
1024,2019-12-13,2019-12-13,10:02,2019-12-13,19:25,
1026,2019-12-12,2019-12-12,10:09,2019-12-12,20:06,
1026,2019-12-13,2019-12-13,10:18,2019-12-13,19:31,
1063,2019-12-13,2019-12-13,09:54,2019-12-13,18:04,
1063,2019-12-14,2019-12-14,09:41,2019-12-14,18:07,
1072,2019-12-12,2019-12-12,09:33,2019-12-12,19:22,
1072,2019-12-13,2019-12-13,09:45,2019-12-13,18:40,
1172,2019-12-12,2019-12-12,09:42,2019-12-12,19:02,
1172,2019-12-13,2019-12-13,10:42,2019-12-13,22:25,
1200,2019-12-12,2019-12-12,08:34,2019-12-12,17:40,
1200,2019-12-13,2019-12-13,08:29,2019-12-13,17:41,
1200,2019-12-14,2019-12-14,08:53,2019-12-14,17:21,
1396,2019-12-12,2019-12-12,10:28,2019-12-12,19:12,
1396,2019-12-13,2019-12-13,10:02,2019-12-13,13:09,
1460,2019-12-13,2019-12-13,14:02,2019-12-13,15:42,
1532,2019-12-12,2019-12-12,09:16,2019-12-12,18:22,
1532,2019-12-13,2019-12-13,09:36,2019-12-13,18:32,
1631,2019-12-13,2019-12-13,09:41,2019-12-13,19:27,
1632,2019-12-13,2019-12-13,09:52,2019-12-13,16:29,
1633,2019-12-12,2019-12-12,10:11,2019-12-12,19:15,
1633,2019-12-13,2019-12-13,10:12,2019-12-13,16:57,
1662,2019-12-12,2019-12-12,08:35,2019-12-12,18:01,
1662,2019-12-14,2019-12-14,09:06,2019-12-14,18:03,
1701,2019-12-12,2019-12-12,09:41,2019-12-12,18:53,
1701,2019-12-13,2019-12-13,09:33,2019-12-13,17:45,
1701,2019-12-14,2019-12-14,09:39,2019-12-14,18:43,
1729,2019-12-12,2019-12-12,09:23,2019-12-12,19:24,
1729,2019-12-13,2019-12-13,09:22,2019-12-13,19:08,
1729,2019-12-14,2019-12-14,09:48,2019-12-14,19:56,
1738,2019-12-12,2019-12-12,09:46,2019-12-12,19:23,
1738,2019-12-13,2019-12-13,09:32,2019-12-13,18:38,
1738,2019-12-14,2019-12-14,09:26,2019-12-14,18:43,
1792,2019-12-12,2019-12-12,09:48,2019-12-12,21:46,
1792,2019-12-13,2019-12-13,09:51,2019-12-13,09:52,
1793,2019-12-12,2019-12-12,10:25,2019-12-12,18:51,
1793,2019-12-13,2019-12-13,10:46,2019-12-13,19:03,
1864,2019-12-13,2019-12-13,10:38,2019-12-13,15:00,
1867,2019-12-12,2019-12-12,09:05,2019-12-12,18:05,
1867,2019-12-13,2019-12-13,08:54,2019-12-13,18:10,
1867,2019-12-14,2019-12-14,08:54,2019-12-14,18:09,
1885,2019-12-12,2019-12-12,10:36,2019-12-12,19:32,
1885,2019-12-13,2019-12-13,11:39,2019-12-13,20:09,
1886,2019-12-12,2019-12-12,10:24,2019-12-12,19:49,
1886,2019-12-13,2019-12-13,10:37,2019-12-13,19:26,
1973,2019-12-12,2019-12-12,11:17,2019-12-12,21:55,
1973,2019-12-13,2019-12-13,12:33,2019-12-13,19:30,
2062,2019-12-12,2019-12-12,11:08,2019-12-12,18:05,
2062,2019-12-13,2019-12-13,10:11,2019-12-13,19:03,
