employee_no,timestamp
1004,12-12-2019 11:55
1004,12-12-2019 18:40
1021,12-12-2019 10:40
1021,12-12-2019 18:50
1026,12-12-2019 10:09
1026,12-12-2019 20:06
1072,12-12-2019 09:33
1072,12-12-2019 19:22
1172,12-12-2019 09:42
1172,12-12-2019 19:02
1200,12-12-2019 08:34
1200,12-12-2019 17:40
1396,12-12-2019 10:28
1396,12-12-2019 19:12
1532,12-12-2019 09:16
1532,12-12-2019 18:22
1633,12-12-2019 10:11
1633,12-12-2019 19:15
1662,12-12-2019 08:35
1662,12-12-2019 18:01
1701,12-12-2019 09:41
1701,12-12-2019 18:53
1729,12-12-2019 09:23
1729,12-12-2019 19:24
1738,12-12-2019 09:46
1738,12-12-2019 19:23
1792,12-12-2019 09:48
1792,12-12-2019 21:46
1793,12-12-2019 10:25
1793,12-12-2019 18:51
1867,12-12-2019 09:05
1867,12-12-2019 18:05
1885,12-12-2019 10:36
1885,12-12-2019 19:32
1886,12-12-2019 10:24
1886,12-12-2019 19:49
1973,12-12-2019 11:17
1973,12-12-2019 21:55
2062,12-12-2019 11:08
2062,12-12-2019 18:05
2105,12-12-2019 09:58
2105,12-12-2019 19:12
2173,12-12-2019 09:34
2173,12-12-2019 12:13
2312,12-12-2019 09:59
2312,12-12-2019 18:38
2377,12-12-2019 14:00
2377,12-12-2019 21:55
2452,12-12-2019 10:50
2452,12-12-2019 19:15
2524,12-12-2019 13:22
2524,12-12-2019 16:24
2613,12-12-2019 08:58
2613,12-12-2019 19:39
2640,12-12-2019 09:48
2640,12-12-2019 19:09
2679,12-12-2019 08:37
2679,12-12-2019 18:06
2770,12-12-2019 08:58
2770,12-12-2019 18:04
2813,12-12-2019 08:35
2813,12-12-2019 18:17
2879,12-12-2019 11:02
2879,12-12-2019 20:09
2977,12-12-2019 09:45
2977,12-12-2019 20:40
3001,12-12-2019 08:17
3001,12-12-2019 17:31
3228,12-12-2019 10:02
3228,12-12-2019 19:17
3418,12-12-2019 12:52
3418,12-12-2019 15:39
3528,12-12-2019 10:06
3528,12-12-2019 14:52
3733,12-12-2019 09:48
3733,12-12-2019 18:38
3787,12-12-2019 08:57
3787,12-12-2019 18:29
3825,12-12-2019 12:52
3825,12-12-2019 15:39
3838,12-12-2019 09:11
3838,12-12-2019 18:04
3851,12-12-2019 07:55
3851,12-12-2019 19:45
3856,12-12-2019 10:38
3856,12-12-2019 20:20
3865,12-12-2019 12:25
3865,12-12-2019 22:01
4053,12-12-2019 10:08
4053,12-12-2019 20:09
4262,12-12-2019 07:44
4262,12-12-2019 18:05
4263,12-12-2019 08:04
4263,12-12-2019 18:37
4280,12-12-2019 10:08
4280,12-12-2019 19:53
4317,12-12-2019 09:39
4317,12-12-2019 18:49
4397,12-12-2019 08:54
4397,12-12-2019 19:04
4449,12-12-2019 10:46
4449,12-12-2019 22:58
4450,12-12-2019 12:26
4450,12-12-2019 19:32
4455,12-12-2019 08:05
4455,12-12-2019 19:43
4568,12-12-2019 08:49
4568,12-12-2019 18:26
4588,12-12-2019 08:35
4588,12-12-2019 18:22
4610,12-12-2019 10:26
4610,12-12-2019 19:39
4722,12-12-2019 11:05
4722,12-12-2019 20:40
4780,12-12-2019 08:44
4780,12-12-2019 18:17
4798,12-12-2019 11:47
4798,12-12-2019 21:38
4824,12-12-2019 09:32
4824,12-12-2019 21:43
4839,12-12-2019 07:42
4839,12-12-2019 17:32
4860,12-12-2019 09:35
4860,12-12-2019 19:15
4906,12-12-2019 10:10
4906,12-12-2019 19:10
4938,12-12-2019 11:15
4938,12-12-2019 19:15
4946,12-12-2019 10:36
4946,12-12-2019 22:17
4947,12-12-2019 09:56
4947,12-12-2019 19:07
4949,12-12-2019 07:47
4949,12-12-2019 17:23
4955,12-12-2019 08:36
4955,12-12-2019 18:22
5083,12-12-2019 10:10
5083,12-12-2019 17:58
5165,12-12-2019 09:23
5165,12-12-2019 19:59
5177,12-12-2019 11:44
5177,12-12-2019 22:12
5235,12-12-2019 10:35
5235,12-12-2019 18:40
5283,12-12-2019 08:35
5283,12-12-2019 18:04
5292,12-12-2019 08:52
5292,12-12-2019 18:02
5308,12-12-2019 09:22
5308,12-12-2019 18:37
5344,12-12-2019 09:50
5344,12-12-2019 18:41
5421,12-12-2019 09:35
5421,12-12-2019 18:06
5424,12-12-2019 09:57
5424,12-12-2019 17:58
5480,12-12-2019 10:25
5480,12-12-2019 18:58
5482,12-12-2019 12:57
5482,12-12-2019 22:19
5501,12-12-2019 06:01
5501,12-12-2019 20:41
5504,12-12-2019 08:31
5504,12-12-2019 19:16
5519,12-12-2019 10:23
5519,12-12-2019 21:34
5579,12-12-2019 11:31
5579,12-12-2019 21:15
5599,12-12-2019 09:34
5599,12-12-2019 18:43
5632,12-12-2019 09:21
5632,12-12-2019 18:15
5662,12-12-2019 09:42
5662,12-12-2019 18:31
